"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",9.43779962422962e-42,-0.958015760172951,0.724,0.923,1.32289637332827e-37,"AS-","GNLY"
"IGKC",2.85281209154831e-30,0.735021225158989,0.69,0.314,3.99878670872326e-26,"AS-","IGKC"
"CXCR4",1.61850132943159e-23,-0.676578392418525,0.517,0.753,2.26865331346426e-19,"AS-","CXCR4"
"IGHA1",2.07423768569852e-22,0.636200442904643,0.247,0.013,2.90745896404361e-18,"AS-","IGHA1"
"RPS10",2.57685764964879e-16,0.285920593171927,0.99,0.974,3.61198136751271e-12,"AS-","RPS10"
"DDIT4",3.14110908365541e-15,-0.579285198123559,0.139,0.351,4.40289260255979e-11,"AS-","DDIT4"
"IFI44L",2.96243086220622e-13,0.468734681046607,0.145,0.008,4.15243933955445e-09,"AS-","IFI44L"
"JUNB",4.34106913411435e-12,-0.479744633193939,0.588,0.732,6.08487660528808e-08,"AS-","JUNB"
"KLRB1",5.3053256372571e-12,-0.609841596461634,0.388,0.585,7.43647494574327e-08,"AS-","KLRB1"
"IFITM1",5.33826516094825e-12,0.363342270327964,0.909,0.817,7.48264627610116e-08,"AS-","IFITM1"
"LTB",1.12707837483913e-11,0.392737808345652,0.676,0.459,1.57982575801202e-07,"AS-","LTB"
"BTG1",4.96854456962421e-11,-0.321512649942802,0.871,0.92,6.96440892324225e-07,"AS-","BTG1"
"S100A9",6.1404305398516e-11,0.379998319236668,0.328,0.129,8.60704148770999e-07,"AS-","S100A9"
"HSPA8",7.08034287794474e-11,0.350314814069892,0.787,0.59,9.92451661201514e-07,"AS-","HSPA8"
"IGLC2",4.62306666319344e-10,0.412675713199328,0.27,0.101,6.48015254179825e-06,"AS-","IGLC2"
"S100A11",1.00789043912738e-09,0.424189198538015,0.547,0.34,1.41276002852485e-05,"AS-","S100A11"
"STAT1",2.06781980297323e-09,0.37925291733961,0.346,0.16,2.89846301782758e-05,"AS-","STAT1"
"S100A8",5.68830093740682e-09,0.386907717170283,0.233,0.085,7.97329142396314e-05,"AS-","S100A8"
"IGLC3",6.62761958349832e-09,0.320490478888824,0.113,0.013,9.2899343701896e-05,"AS-","IGLC3"
"EPSTI1",4.15216060119656e-08,0.338815757252332,0.161,0.044,0.000582008351469722,"AS-","EPSTI1"
"IFI6",1.14441794903445e-07,0.428436780039062,0.312,0.165,0.00160413063916159,"AS-","IFI6"
"DUSP2",1.451816167828e-07,-0.377237219156424,0.594,0.724,0.00203501072244451,"AS-","DUSP2"
"PATL2",2.19050744424272e-07,0.360853455955456,0.39,0.216,0.00307043428459502,"AS-","PATL2"
"XAF1",8.45557787477302e-07,0.305796777407168,0.177,0.067,0.0118521835070693,"AS-","XAF1"
"TSC22D3",2.1762203203476e-06,-0.292889335557775,0.614,0.716,0.0305040802303123,"AS-","TSC22D3"
"FUS",3.22747171576182e-06,-0.323541394578742,0.406,0.531,0.0452394710398334,"AS-","FUS"
"PIM1",4.58758478109511e-06,0.274589658410222,0.346,0.198,0.0643041758766102,"AS-","PIM1"
"S1PR4",6.05404869317404e-06,0.282490807369868,0.392,0.24,0.0848596005322205,"AS-","S1PR4"
"IFITM3",6.79718821737233e-06,0.321170597069873,0.344,0.209,0.0952761872429079,"AS-","IFITM3"
"TNRC6B",6.82581925331254e-06,-0.344246558757271,0.258,0.381,0.0956775084736819,"AS-","TNRC6B"
"LY6E",7.44618198893208e-06,0.261590696179649,0.773,0.649,0.104373132938861,"AS-","LY6E"
"LGALS1",1.19798110028986e-05,0.365103005014673,0.513,0.379,0.16792101082763,"AS-","LGALS1"
"ZFAS1",1.32970463434653e-05,-0.256063516358901,0.408,0.526,0.186384698596353,"AS-","ZFAS1"
"CD79A",1.58116760174888e-05,0.276907445856738,0.185,0.082,0.22163226273714,"AS-","CD79A"
"NR4A2",1.8767696352984e-05,-0.257219240341147,0.05,0.129,0.263066799779777,"AS-","NR4A2"
"SELL",2.79477010342265e-05,0.25240228414169,0.229,0.116,0.391742925396753,"AS-","SELL"
"GIMAP7",2.92137754683982e-05,0.278330504690523,0.594,0.441,0.409489490740538,"AS-","GIMAP7"
"PRMT2",3.84202104678728e-05,0.27996758131325,0.455,0.32,0.538536090128174,"AS-","PRMT2"
"RP11-347P5.1",4.69192994003214e-05,-0.345919763008915,0.28,0.381,0.657667819694305,"AS-","RP11-347P5.1"
"KLRF1",6.75780011031076e-05,-0.329177367865488,0.103,0.196,0.947240841462259,"AS-","KLRF1"
"ZFP36",7.18784253392883e-05,-0.322685971675685,0.314,0.412,1,"AS-","ZFP36"
"FAM215B",7.77298429604252e-05,-0.284558518420949,0.095,0.18,1,"AS-","FAM215B"
"ATG2A",9.01672873448555e-05,-0.31725944973204,0.119,0.211,1,"AS-","ATG2A"
"UBE2L6",9.1309566733605e-05,0.29989039984334,0.366,0.247,1,"AS-","UBE2L6"
"SFPQ",0.000116204565891073,-0.284531540178764,0.189,0.289,1,"AS-","SFPQ"
"NOP10",0.000134083220169663,0.261247488664151,0.356,0.235,1,"AS-","NOP10"
"PIK3R1",0.00016415107584184,-0.308741153768663,0.207,0.307,1,"AS-","PIK3R1"
"HSPA5",0.000304275539279609,-0.315783094202646,0.231,0.32,1,"AS-","HSPA5"
"TNFAIP3",0.000327737526201469,-0.283376594405795,0.089,0.165,1,"AS-","TNFAIP3"
"NFKBIA",0.000351584823067499,-0.250097990806098,0.117,0.201,1,"AS-","NFKBIA"
"FNTA",0.000377806192798227,0.25989641625452,0.169,0.09,1,"AS-","FNTA"
"JUND",0.000440702459655149,-0.288969634333685,0.171,0.255,1,"AS-","JUND"
"MIAT",0.000717821027647893,-0.296547040200975,0.163,0.245,1,"AS-","MIAT"
"ISG15",0.000938110808430541,0.267113148754874,0.372,0.265,1,"AS-","ISG15"
"DNAJB1",0.000986200465944943,-0.25620500153807,0.201,0.286,1,"AS-","DNAJB1"
"CRIP1",0.00104697546535154,0.352810015595514,0.662,0.575,1,"AS-","CRIP1"
"HERPUD1",0.00115285177690551,-0.306458067115955,0.254,0.338,1,"AS-","HERPUD1"
"DUSP1",0.00219855215265141,-0.295121347175742,0.282,0.358,1,"AS-","DUSP1"
"SF1",0.00255445257552444,-0.29717367529617,0.384,0.443,1,"AS-","SF1"
"SNHG25",0.00326660660433962,-0.252479451308728,0.288,0.356,1,"AS-","SNHG25"
"GNLY.1",9.43779962422962e-42,0.958015760172951,0.923,0.724,1.32289637332827e-37,"AS+","GNLY"
"IGKC.1",2.85281209154831e-30,-0.735021225158989,0.314,0.69,3.99878670872326e-26,"AS+","IGKC"
"CXCR4.1",1.61850132943159e-23,0.676578392418525,0.753,0.517,2.26865331346426e-19,"AS+","CXCR4"
"IGHA1.1",2.07423768569852e-22,-0.636200442904643,0.013,0.247,2.90745896404361e-18,"AS+","IGHA1"
"RPS10.1",2.57685764964879e-16,-0.285920593171927,0.974,0.99,3.61198136751271e-12,"AS+","RPS10"
"DDIT4.1",3.14110908365541e-15,0.579285198123559,0.351,0.139,4.40289260255979e-11,"AS+","DDIT4"
"IFI44L.1",2.96243086220622e-13,-0.468734681046607,0.008,0.145,4.15243933955445e-09,"AS+","IFI44L"
"JUNB.1",4.34106913411435e-12,0.479744633193939,0.732,0.588,6.08487660528808e-08,"AS+","JUNB"
"KLRB1.1",5.3053256372571e-12,0.609841596461634,0.585,0.388,7.43647494574327e-08,"AS+","KLRB1"
"IFITM1.1",5.33826516094825e-12,-0.363342270327964,0.817,0.909,7.48264627610116e-08,"AS+","IFITM1"
"LTB.1",1.12707837483913e-11,-0.392737808345652,0.459,0.676,1.57982575801202e-07,"AS+","LTB"
"BTG1.1",4.96854456962421e-11,0.321512649942802,0.92,0.871,6.96440892324225e-07,"AS+","BTG1"
"S100A9.1",6.1404305398516e-11,-0.379998319236668,0.129,0.328,8.60704148770999e-07,"AS+","S100A9"
"HSPA8.1",7.08034287794474e-11,-0.350314814069892,0.59,0.787,9.92451661201514e-07,"AS+","HSPA8"
"IGLC2.1",4.62306666319344e-10,-0.412675713199328,0.101,0.27,6.48015254179825e-06,"AS+","IGLC2"
"S100A11.1",1.00789043912738e-09,-0.424189198538015,0.34,0.547,1.41276002852485e-05,"AS+","S100A11"
"STAT1.1",2.06781980297323e-09,-0.37925291733961,0.16,0.346,2.89846301782758e-05,"AS+","STAT1"
"S100A8.1",5.68830093740682e-09,-0.386907717170283,0.085,0.233,7.97329142396314e-05,"AS+","S100A8"
"IGLC3.1",6.62761958349832e-09,-0.320490478888824,0.013,0.113,9.2899343701896e-05,"AS+","IGLC3"
"EPSTI1.1",4.15216060119656e-08,-0.338815757252332,0.044,0.161,0.000582008351469722,"AS+","EPSTI1"
"IFI6.1",1.14441794903445e-07,-0.428436780039062,0.165,0.312,0.00160413063916159,"AS+","IFI6"
"DUSP2.1",1.451816167828e-07,0.377237219156424,0.724,0.594,0.00203501072244451,"AS+","DUSP2"
"PATL2.1",2.19050744424272e-07,-0.360853455955456,0.216,0.39,0.00307043428459502,"AS+","PATL2"
"XAF1.1",8.45557787477302e-07,-0.305796777407168,0.067,0.177,0.0118521835070693,"AS+","XAF1"
"TSC22D3.1",2.1762203203476e-06,0.292889335557775,0.716,0.614,0.0305040802303123,"AS+","TSC22D3"
"FUS.1",3.22747171576182e-06,0.323541394578742,0.531,0.406,0.0452394710398334,"AS+","FUS"
"PIM1.1",4.58758478109511e-06,-0.274589658410222,0.198,0.346,0.0643041758766102,"AS+","PIM1"
"S1PR4.1",6.05404869317404e-06,-0.282490807369868,0.24,0.392,0.0848596005322205,"AS+","S1PR4"
"IFITM3.1",6.79718821737233e-06,-0.321170597069873,0.209,0.344,0.0952761872429079,"AS+","IFITM3"
"TNRC6B.1",6.82581925331254e-06,0.344246558757271,0.381,0.258,0.0956775084736819,"AS+","TNRC6B"
"LY6E.1",7.44618198893208e-06,-0.261590696179649,0.649,0.773,0.104373132938861,"AS+","LY6E"
"LGALS1.1",1.19798110028986e-05,-0.365103005014673,0.379,0.513,0.16792101082763,"AS+","LGALS1"
"ZFAS1.1",1.32970463434653e-05,0.256063516358901,0.526,0.408,0.186384698596353,"AS+","ZFAS1"
"CD79A.1",1.58116760174888e-05,-0.276907445856738,0.082,0.185,0.22163226273714,"AS+","CD79A"
"NR4A2.1",1.8767696352984e-05,0.257219240341147,0.129,0.05,0.263066799779777,"AS+","NR4A2"
"SELL.1",2.79477010342265e-05,-0.25240228414169,0.116,0.229,0.391742925396753,"AS+","SELL"
"GIMAP7.1",2.92137754683982e-05,-0.278330504690523,0.441,0.594,0.409489490740538,"AS+","GIMAP7"
"PRMT2.1",3.84202104678728e-05,-0.27996758131325,0.32,0.455,0.538536090128174,"AS+","PRMT2"
"RP11-347P5.1.1",4.69192994003214e-05,0.345919763008915,0.381,0.28,0.657667819694305,"AS+","RP11-347P5.1"
"KLRF1.1",6.75780011031076e-05,0.329177367865488,0.196,0.103,0.947240841462259,"AS+","KLRF1"
"ZFP36.1",7.18784253392883e-05,0.322685971675685,0.412,0.314,1,"AS+","ZFP36"
"FAM215B.1",7.77298429604252e-05,0.284558518420949,0.18,0.095,1,"AS+","FAM215B"
"ATG2A.1",9.01672873448555e-05,0.31725944973204,0.211,0.119,1,"AS+","ATG2A"
"UBE2L6.1",9.1309566733605e-05,-0.29989039984334,0.247,0.366,1,"AS+","UBE2L6"
"SFPQ.1",0.000116204565891073,0.284531540178764,0.289,0.189,1,"AS+","SFPQ"
"NOP10.1",0.000134083220169663,-0.261247488664151,0.235,0.356,1,"AS+","NOP10"
"PIK3R1.1",0.00016415107584184,0.308741153768663,0.307,0.207,1,"AS+","PIK3R1"
"HSPA5.1",0.000304275539279609,0.315783094202646,0.32,0.231,1,"AS+","HSPA5"
"TNFAIP3.1",0.000327737526201469,0.283376594405795,0.165,0.089,1,"AS+","TNFAIP3"
"NFKBIA.1",0.000351584823067499,0.250097990806098,0.201,0.117,1,"AS+","NFKBIA"
"FNTA.1",0.000377806192798227,-0.25989641625452,0.09,0.169,1,"AS+","FNTA"
"JUND.1",0.000440702459655149,0.288969634333685,0.255,0.171,1,"AS+","JUND"
"MIAT.1",0.000717821027647893,0.296547040200975,0.245,0.163,1,"AS+","MIAT"
"ISG15.1",0.000938110808430541,-0.267113148754874,0.265,0.372,1,"AS+","ISG15"
"DNAJB1.1",0.000986200465944943,0.25620500153807,0.286,0.201,1,"AS+","DNAJB1"
"CRIP1.1",0.00104697546535154,-0.352810015595514,0.575,0.662,1,"AS+","CRIP1"
"HERPUD1.1",0.00115285177690551,0.306458067115955,0.338,0.254,1,"AS+","HERPUD1"
"DUSP1.1",0.00219855215265141,0.295121347175742,0.358,0.282,1,"AS+","DUSP1"
"SF1.1",0.00255445257552444,0.29717367529617,0.443,0.384,1,"AS+","SF1"
"SNHG25.1",0.00326660660433962,0.252479451308728,0.356,0.288,1,"AS+","SNHG25"
