Node,In_degree,Out_degree,inOutRatio,Equivs_len,Graph,Number_of_Nodes,importanceScore,AvgLocalError,plainEquivs,bitstringEquivs,minimalRules
DLAT,4,2,1.6666666666666667,127,hsa00010.graphml,47,0.004061125398417251,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","{'DLAT *= (ACSS2 and PDHA1) or (ACSS1 and ACSS2)', 'DLAT *= (ACSS2 and PDHA1)', 'DLAT *= (PDHA1) or (ACSS2)', 'DLAT *= (ACSS2) or (ACSS1)', 'DLAT *= (ACSS2 and PDHA1) or (ACSS1)', 'DLAT *= (ACSS2 and PDHA1) or (ACSS1 and PDHA1)', 'DLAT *= (ACSS1 and ACSS2 and PDHA1)', 'DLAT *= (ACSS1 and ACSS2)', 'DLAT *= (ACSS2)', 'DLAT *= (ACSS1 and PDHA1) or (ACSS1 and ACSS2)', 'DLAT *= (PDHA1)', 'DLAT *= (PDHA1) or (ACSS1) or (ACSS2)', 'DLAT *= (PDHA1) or (ACSS1 and ACSS2)', 'DLAT *= (ACSS2 and PDHA1) or (ACSS1 and ACSS2) or (ACSS1 and PDHA1)', 'DLAT *= (ACSS1 and PDHA1)', 'DLAT *= (ACSS2) or (ACSS1 and PDHA1)', 'DLAT *= (ACSS1)', 'DLAT *= (PDHA1) or (ACSS1)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 1), (0, 1, 0, 0, 1, 0, 0), (0, 0, 0, 1, 0, 0, 1), (0, 1, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 1), (0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 0), (0, 0, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0), (0, 0, 1, 0, 0, 1, 0), (0, 0, 0, 0, 0, 0, 1), (0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 0), (0, 1, 0, 0, 0, 0, 1)}",DLAT *= (PDHA1) or (ACSS1) or (ACSS2)
GALM,4,6,0.7142857142857143,31,hsa00010.graphml,47,0.8897637795275591,"[1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 1, 1, 1, 1, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12, 12, 12, 17, 17, 17, 17, 17, 17, 17, 17, 28, 28, 28, 28, 28, 28, 28, 28, 17, 17, 17, 17, 17, 17, 17, 17, 28, 28, 28, 28, 28, 28, 28, 28, 17, 17, 17, 17, 17, 17, 17, 17, 28, 28, 28, 28, 28, 28, 28, 28, 17, 17, 17, 17, 17, 17, 17, 17, 28, 28, 28, 28, 28, 28, 28, 28]","{'GALM *= (HK1) or (HK3 and HKDC1)', 'GALM *= (HK3 and HKDC1) or (HK3 and HK1)', 'GALM *= (HK1 and HKDC1) or (HK3 and HKDC1)', 'GALM *= (HK3 and HK1)', 'GALM *= (HK1)', 'GALM *= (HK1 and HKDC1)', 'GALM *= (HK1 and HKDC1) or (HK3 and HK1) or (HK3 and HKDC1)', 'GALM *= (HK1 and HKDC1) or (HK3 and HK1)', 'GALM *= (HK3 and HKDC1)', 'GALM *= (HK3 and HK1 and HKDC1)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 1, 0, 0, 1, 0, 0), (0, 1, 0, 0, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 0, 0), (0, 0, 1, 0, 0, 1, 0), (0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 0)}",GALM *= (HK1) or (HK3 and HKDC1)
DLD,3,0,4.0,127,hsa00010.graphml,47,0.003996584285728468,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]","{'DLD *= (PDHB) or (PDHA1)', 'DLD *= (PDHB and DLAT) or (PDHA1 and PDHB) or (PDHA1 and DLAT)', 'DLD *= (PDHA1 and DLAT) or (PDHA1 and PDHB)', 'DLD *= (PDHB)', 'DLD *= (DLAT) or (PDHA1) or (PDHB)', 'DLD *= (PDHA1 and PDHB)', 'DLD *= (DLAT) or (PDHB)', 'DLD *= (DLAT)', 'DLD *= (PDHA1 and DLAT)', 'DLD *= (PDHA1 and PDHB and DLAT)', 'DLD *= (PDHB and DLAT) or (PDHA1 and PDHB)', 'DLD *= (PDHB and DLAT) or (PDHA1 and DLAT)', 'DLD *= (PDHB and DLAT)', 'DLD *= (PDHB and DLAT) or (PDHA1)', 'DLD *= (PDHB) or (PDHA1 and DLAT)', 'DLD *= (DLAT) or (PDHA1)', 'DLD *= (DLAT) or (PDHA1 and PDHB)', 'DLD *= (PDHA1)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 1), (0, 1, 0, 0, 1, 0, 0), (0, 0, 0, 1, 0, 0, 1), (0, 1, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 1), (0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 0), (0, 0, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0), (0, 0, 1, 0, 0, 1, 0), (0, 0, 0, 0, 0, 0, 1), (0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 0), (0, 1, 0, 0, 0, 0, 1)}",DLD *= (DLAT) or (PDHA1) or (PDHB)
BPGM,5,3,1.5,15,hsa00010.graphml,47,0.4414612107912738,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 88, 88, 90, 90, 88, 88, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 88, 88, 90, 90, 88, 88, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]","{'BPGM *= (ENO1)', 'BPGM *= (ENO1 and PGK1)', 'BPGM *= (ENO1 and GAPDH and PGK1)', 'BPGM *= (ENO1 and PGK1) or (ENO1 and GAPDH)', 'BPGM *= (ENO1 and GAPDH)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 1, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 1, 0, 0, 0, 0)}",BPGM *= (ENO1)
MINPP1,2,3,0.75,7,hsa00010.graphml,47,0.07250945775535934,"[0, 0, 0, 0, 0, 0, 0]","{'MINPP1 *= (BPGM)', 'MINPP1 *= (PGAM1) or (BPGM)', 'MINPP1 *= (BPGM and PGAM1)', 'MINPP1 *= (PGAM1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",MINPP1 *= (PGAM1) or (BPGM)
AKR1A1,5,0,6.0,127,hsa00010.graphml,47,0.003996584285728468,"[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]","{'AKR1A1 *= (ALDH3A2) or (ALDH2 and ALDH3B1)', 'AKR1A1 *= (ALDH3B1 and ALDH3A2)', 'AKR1A1 *= (ALDH3B1)', 'AKR1A1 *= (ALDH3B1 and ALDH3A2) or (ALDH2 and ALDH3B1)', 'AKR1A1 *= (ALDH2 and ALDH3B1)', 'AKR1A1 *= (ALDH3B1 and ALDH3A2) or (ALDH2 and ALDH3B1) or (ALDH2 and ALDH3A2)', 'AKR1A1 *= (ALDH3B1 and ALDH3A2) or (ALDH2)', 'AKR1A1 *= (ALDH2)', 'AKR1A1 *= (ALDH2 and ALDH3B1 and ALDH3A2)', 'AKR1A1 *= (ALDH2 and ALDH3A2) or (ALDH2 and ALDH3B1)', 'AKR1A1 *= (ALDH3A2) or (ALDH2) or (ALDH3B1)', 'AKR1A1 *= (ALDH3B1) or (ALDH2 and ALDH3A2)', 'AKR1A1 *= (ALDH3B1) or (ALDH2)', 'AKR1A1 *= (ALDH2 and ALDH3A2)', 'AKR1A1 *= (ALDH3A2)', 'AKR1A1 *= (ALDH3A2) or (ALDH3B1)', 'AKR1A1 *= (ALDH3B1 and ALDH3A2) or (ALDH2 and ALDH3A2)', 'AKR1A1 *= (ALDH3A2) or (ALDH2)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 1), (0, 1, 0, 0, 1, 0, 0), (0, 0, 0, 1, 0, 0, 1), (0, 1, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 1), (0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 0), (0, 0, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0), (0, 0, 1, 0, 0, 1, 0), (0, 0, 0, 0, 0, 0, 1), (0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 0), (0, 1, 0, 0, 0, 0, 1)}",AKR1A1 *= (ALDH3A2) or (ALDH2) or (ALDH3B1)
TPI1,2,3,0.75,7,hsa00010.graphml,47,0.0,"[0, 0, 0, 0, 0, 0, 0]","{'TPI1 *= (ALDOA)', 'TPI1 *= (ALDOC) or (ALDOA)', 'TPI1 *= (ALDOC)', 'TPI1 *= (ALDOA and ALDOC)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",TPI1 *= (ALDOC) or (ALDOA)
GPI,11,7,1.5,7,hsa00010.graphml,47,0.2921627230391912,"[18, 18, 18, 18, 18, 18, 18, 67, 67, 67, 67, 67, 67, 67, 67, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69, 20, 20, 20, 20, 20, 20, 20, 20, 69, 69, 69, 69, 69, 69, 69, 69]","{'GPI *= (PFKL and HK1 and ADPGK)', 'GPI *= (PFKL and ADPGK)', 'GPI *= (PFKL and HK1)', 'GPI *= (PFKL and ADPGK) or (PFKL and HK1)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 0, 1, 0, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 1, 0, 0, 0, 0, 0)}",GPI *= (PFKL and ADPGK) or (PFKL and HK1)
ADPGK,1,3,0.5,1,hsa00010.graphml,47,1.0,[15],{'ADPGK *= GALM'},"{(1,)}",ADPGK *= GALM
ALDH9A1,2,5,0.5,7,hsa00010.graphml,47,0.07250945775535934,"[10, 10, 10, 10, 10, 10, 10]","{'ALDH9A1 *= (ACSS2)', 'ALDH9A1 *= (ACSS1 and ACSS2)', 'ALDH9A1 *= (ACSS2) or (ACSS1)', 'ALDH9A1 *= (ACSS1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",ALDH9A1 *= (ACSS2) or (ACSS1)
AHR,1,0,2.0,1,hsa00010.graphml,47,0.5075662042875154,[6],{'AHR *= ALDH9A1'},"{(1,)}",AHR *= ALDH9A1
PDHB,0,7,0.125,1,hsa00010.graphml,47,0.5075662042875154,0.0,{'PDHB *=  PDHB'},{()},PDHB *=  PDHB
GAPDH,3,2,1.3333333333333333,56,hsa00010.graphml,47,0.2191220422793934,"[29, 29, 29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 29, 29, 29, 29, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 18, 18, 18, 18, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 18, 18, 18, 18, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]","{'GAPDH *= (ALDOC) or (TPI1)', 'GAPDH *= (ALDOC) or (ALDOA) or (TPI1)', 'GAPDH *= (TPI1) or (ALDOA and ALDOC)', 'GAPDH *= (TPI1) or (ALDOA)'}","{(0, 0, 1, 0, 0, 1, 0), (0, 0, 0, 0, 0, 1, 1), (0, 0, 0, 1, 0, 1, 0), (0, 0, 0, 1, 0, 1, 1)}",GAPDH *= (ALDOC) or (ALDOA) or (TPI1)
PGM2,2,6,0.42857142857142855,1,hsa00010.graphml,47,1.0,"[13, 15, 15, 32, 32, 41, 41]",{'PGM2 *= (ADPGK and GPI)'},"{(1, 0, 0)}",PGM2 *= (ADPGK and GPI)
MDH1,1,0,2.0,1,hsa00010.graphml,47,0.5075662042875154,[18],{'MDH1 *= ALDH9A1'},"{(1,)}",MDH1 *= ALDH9A1
MDH2,1,0,2.0,1,hsa00010.graphml,47,0.5075662042875154,[34],{'MDH2 *= ALDH9A1'},"{(1,)}",MDH2 *= ALDH9A1
POR,2,0,3.0,7,hsa00010.graphml,47,0.07250945775535934,"[12, 12, 12, 12, 12, 12, 12]","{'POR *= (DLAT)', 'POR *= (PDHB and DLAT)', 'POR *= (DLAT) or (PDHB)', 'POR *= (PDHB)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",POR *= (DLAT) or (PDHB)
ALDOA,1,6,0.2857142857142857,1,hsa00010.graphml,47,0.0,[0],{'ALDOA *= TPI1'},"{(1,)}",ALDOA *= TPI1
ALDOC,1,6,0.2857142857142857,1,hsa00010.graphml,47,0.4672131147540981,[83],{'ALDOC *= TPI1'},"{(1,)}",ALDOC *= TPI1
ALDH2,2,2,1.0,7,hsa00010.graphml,47,0.07250945775535934,"[22, 22, 22, 22, 22, 22, 22]","{'ALDH2 *= (ACSS2 and ACSS1)', 'ALDH2 *= (ACSS1) or (ACSS2)', 'ALDH2 *= (ACSS2)', 'ALDH2 *= (ACSS1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",ALDH2 *= (ACSS1) or (ACSS2)
ALDH1B1,2,2,1.0,7,hsa00010.graphml,47,0.07250945775535934,"[1, 1, 1, 1, 1, 1, 1]","{'ALDH1B1 *= (ACSS1)', 'ALDH1B1 *= (ACSS1 and ACSS2)', 'ALDH1B1 *= (ACSS2)', 'ALDH1B1 *= (ACSS2) or (ACSS1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",ALDH1B1 *= (ACSS2) or (ACSS1)
ALDH3A2,2,2,1.0,7,hsa00010.graphml,47,0.07250945775535934,"[7, 7, 7, 7, 7, 7, 7]","{'ALDH3A2 *= (ACSS2) or (ACSS1)', 'ALDH3A2 *= (ACSS1 and ACSS2)', 'ALDH3A2 *= (ACSS2)', 'ALDH3A2 *= (ACSS1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",ALDH3A2 *= (ACSS2) or (ACSS1)
ALDH3B1,2,2,1.0,7,hsa00010.graphml,47,0.07250945775535934,"[18, 18, 18, 18, 18, 18, 18]","{'ALDH3B1 *= (ACSS2)', 'ALDH3B1 *= (ACSS2) or (ACSS1)', 'ALDH3B1 *= (ACSS1 and ACSS2)', 'ALDH3B1 *= (ACSS1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",ALDH3B1 *= (ACSS2) or (ACSS1)
ADH5,5,0,6.0,127,hsa00010.graphml,47,0.003996584285728468,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","{'ADH5 *= (ALDH3B1 and ALDH2)', 'ADH5 *= (ALDH2) or (ALDH3A2) or (ALDH3B1)', 'ADH5 *= (ALDH2) or (ALDH3A2 and ALDH3B1)', 'ADH5 *= (ALDH3A2 and ALDH2)', 'ADH5 *= (ALDH3A2 and ALDH3B1 and ALDH2)', 'ADH5 *= (ALDH3B1 and ALDH2) or (ALDH3A2)', 'ADH5 *= (ALDH2) or (ALDH3A2)', 'ADH5 *= (ALDH3B1 and ALDH2) or (ALDH3A2 and ALDH3B1) or (ALDH3A2 and ALDH2)', 'ADH5 *= (ALDH3B1 and ALDH2) or (ALDH3A2 and ALDH2)', 'ADH5 *= (ALDH3B1 and ALDH2) or (ALDH3A2 and ALDH3B1)', 'ADH5 *= (ALDH3B1) or (ALDH3A2)', 'ADH5 *= (ALDH3A2)', 'ADH5 *= (ALDH3A2 and ALDH2) or (ALDH3A2 and ALDH3B1)', 'ADH5 *= (ALDH3A2 and ALDH3B1)', 'ADH5 *= (ALDH2) or (ALDH3B1)', 'ADH5 *= (ALDH2)', 'ADH5 *= (ALDH3B1)', 'ADH5 *= (ALDH3B1) or (ALDH3A2 and ALDH2)'}","{(0, 1, 1, 0, 0, 0, 0), (0, 0, 0, 0, 0, 1, 1), (0, 1, 0, 0, 1, 0, 0), (0, 0, 0, 1, 0, 0, 1), (0, 1, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 1), (0, 0, 0, 1, 0, 0, 0), (1, 0, 0, 0, 0, 0, 0), (0, 0, 0, 1, 0, 1, 0), (0, 0, 0, 0, 0, 1, 0), (0, 1, 1, 0, 1, 0, 0), (0, 0, 0, 1, 1, 0, 0), (0, 0, 1, 0, 0, 1, 0), (0, 0, 0, 0, 0, 0, 1), (0, 0, 1, 0, 0, 0, 0), (0, 0, 0, 0, 1, 0, 0), (0, 0, 1, 0, 1, 0, 0), (0, 1, 0, 0, 0, 0, 1)}",ADH5 *= (ALDH2) or (ALDH3A2) or (ALDH3B1)
PDHA1,0,6,0.14285714285714285,1,hsa00010.graphml,47,0.5075662042875154,0.0,{'PDHA1 *=  PDHA1'},{()},PDHA1 *=  PDHA1
LDHA,2,1,1.5,7,hsa00010.graphml,47,0.07250945775535934,"[54, 54, 54, 54, 54, 54, 54]","{'LDHA *= (PDHA1)', 'LDHA *= (PDHA1) or (PDHB)', 'LDHA *= (PDHB and PDHA1)', 'LDHA *= (PDHB)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",LDHA *= (PDHA1) or (PDHB)
LDHB,2,1,1.5,7,hsa00010.graphml,47,0.07250945775535934,"[31, 31, 31, 31, 31, 31, 31]","{'LDHB *= (PDHA1) or (PDHB)', 'LDHB *= (PDHB)', 'LDHB *= (PDHA1)', 'LDHB *= (PDHB and PDHA1)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",LDHB *= (PDHA1) or (PDHB)
LDHC,2,1,1.5,7,hsa00010.graphml,47,0.07250945775535934,"[0, 0, 0, 0, 0, 0, 0]","{'LDHC *= (PDHA1)', 'LDHC *= (PDHB)', 'LDHC *= (PDHB) or (PDHA1)', 'LDHC *= (PDHA1 and PDHB)'}","{(1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 1, 1)}",LDHC *= (PDHB) or (PDHA1)
